Index,Peak indices,P Peak Time,Q Peak Time,R Peak Time,S Peak Time,T Peak Time,P_ml2_Ampli,Q_ml2_Ampli,R_ml2_Ampli,S_ml2_Ampli,T_ml2_Ampli,P_v5_Ampli,Q_v5_Ampli,R_v5_Ampli,S_v5_Ampli,T_v5_Ampli,diff_T_S,diff_R_P,diff_R_next_R,diff_RQ_SR,diff_T_Q,diff_T_P,diff_T_R,label
101_1,83,0.0,183.33333335589745,230.55555558393164,280.5555555900855,511.11111117401714,0.0,-43.32827976180411,109.98390397927967,-38.44590197525318,15.125909980053688,0.0,3.083638998127945,-13.40782803763037,6.700588766071478,0.6954501831805576,230.55555558393166,230.55555558393164,869.4444445514532,97.22222223418802,327.7777778181197,511.11111117401714,280.55555559008553,N
101_2,396,963.8888890075216,1055.5555556854702,1100.0000001353849,1150.0000001415383,1383.33333350359,15.590802951118745,-41.10514591777397,105.8473581413202,-37.78448841358302,11.894338218663473,4.9626531844320105,1.5479939733558108,-6.446434107667908,-1.0780541964808203,-6.923188697493474,233.3333333620517,136.1111111278633,875.0000001076919,94.44444445606814,327.77777781811983,419.4444444960684,283.3333333682051,N
101_3,711,1833.3333335589743,1930.5555557931625,1975.0000002430768,2025.0000002492309,2263.888889167521,13.86665781664309,-46.55123561497622,118.63491605096952,-42.171850528231246,13.23365886831375,1.1174571163560822,7.371053656231082,-11.175427886284224,5.189382557542852,0.7672065352266169,238.88888891829015,141.66666668410244,891.6666667764114,94.44444445606837,333.3333333743585,430.5555556085467,288.88888892444425,N
101_4,1032,2730.5555558916244,2822.2222225695728,2866.666667019488,2916.6666670256413,3175.0000003907694,14.881671586498207,-49.56804489285799,122.65516026214576,-42.34347850165531,14.427717093978268,-4.364830833792479,0.682717867110798,-8.350807362310727,6.573525279513973,-0.60206228529988,258.33333336512806,136.11111112786375,933.3333334482045,94.4444444560686,352.77777782119665,444.444444499145,308.33333337128124,N
101_5,1368,3661.11111156171,3755.555556017778,3800.0000004676926,3850.000000473847,4116.666667173334,17.965958334588304,-48.79537252531976,125.96997311425908,-45.07229316931016,11.442626736036496,1.793221448217748,7.574121301682898,-7.369464067851245,0.6922415997586171,0.921293083481197,266.66666669948654,138.88888890598264,955.5555556731638,94.44444445606905,361.1111111555556,455.55555561162373,316.6666667056411,N
101_6,1712,4611.111111678633,4708.333333912821,4755.555556140856,4802.77777836889,5072.222222846496,17.386364434624447,-43.957053793764295,113.85864519060055,-41.169404053991485,11.636723042889994,-2.129978699787192,-1.414598853178321,-6.566907562159872,4.935878846875372,-2.631939030511362,269.44444447760634,144.44444446222315,900.0000001107683,94.4444444560686,363.88888893367493,461.1111111678629,316.6666667056397,N
101_7,2036,5519.444445123761,5611.11111180171,5655.555556251625,5702.777778479659,5955.555556288547,15.31004564536992,-47.28344787195076,124.90060445533192,-45.90957577314078,11.51767827035731,4.446652531483382,2.2655235213577143,-2.7890141552768144,-2.354826013101262,-6.400937507333503,252.77777780888846,136.1111111278633,869.4444445514528,91.66666667794925,344.4444444868377,436.11111116478605,300.00000003692276,N
101_8,2349,6391.666667453334,6480.555556353163,6525.0000008030775,6575.000000809231,6819.4444452837615,17.339472609126226,-56.39829362706418,135.9587479688025,-47.25214893898988,16.0051291126444,-3.2410452797096583,2.394157357485414,-8.41714998143016,5.970331923630917,2.3086950767276906,244.44444447453043,133.33333334974304,869.4444445514537,94.44444445606769,338.8888889305981,427.7777778304271,294.44444448068407,N
101_9,2662,7261.111112004787,7350.000000904616,7394.444445354531,7447.222223138804,7694.444445391454,17.447076105893277,-51.928423488598455,126.78848054789336,-37.62919039964323,15.030812065579136,3.488470746066727,-3.1076715712778498,0.1294142487609506,-2.4501689470468,-5.52284218662943,247.22222225264977,133.33333334974395,861.1111112170929,97.22222223418794,344.4444444868377,433.3333333866667,300.00000003692276,N
101_10,2972,8125.000001000001,8211.11111212171,8255.555556571624,8305.55555657778,8566.666667721027,18.569366525069125,-50.808064181962514,127.85770133591475,-45.24512160169716,15.566426335188142,2.4467618784879392,6.041092445769829,-6.474321427201404,-0.138041340264559,-1.599639786686923,261.1111111432474,130.5555555716228,913.8888890013677,94.4444444560686,355.555555599316,441.66666672102565,311.11111114940286,N
